ID,ADDRESS,CITY,ZIP,Longitude,Latitude,Match Score,Provider Number,Location Number,geometry,ASM2021,SEN2021,NAMELSAD,SENATE_DISTRICT2021,SENATE_DISTRICT,CONGRESSIONAL_DISTRICT,GEOID
879,4616 W Stark St                               ,Milwaukee      ,53218-4434,-87.970825018348,43.106477466927,100.0,3000559683,001,POINT (-87.970825018348 43.106477466927),11,4,Milwaukee County,04,4.0,4,55079002800
880,W9570 Poker Flats Ct                               ,Hortonville    ,54944-2707,-88.671276778295,44.272072675764,100.0,3000559793,001,POINT (-88.671276778295 44.272072675764),56,19,Outagamie County,19,19.0,8,55087012602
881,2236 N 39th St                               ,Milwaukee      ,53208-1335,-87.962267262844,43.060126087191,100.0,3000559873,001,POINT (-87.962267262844 43.060126087191),18,6,Milwaukee County,06,6.0,4,55079009000
882,415 W Thomas St                               ,Wausau         ,54401-6085,-89.641426834111,44.948208618419,100.0,3000559873,003,POINT (-89.641426834111 44.948208618419),85,29,Marathon County,29,29.0,7,55073000602
883,3019 N 20th St                               ,Milwaukee      ,53206-1630,-87.937434617401,43.073723545798,100.0,3000559883,002,POINT (-87.937434617401 43.073723545798),16,6,Milwaukee County,06,6.0,4,55079006400
884,1648 S 29th St                               ,Milwaukee      ,53215-1939,-87.950295641995,43.013053360867,100.0,3000559973,002,POINT (-87.950295641995 43.013053360867),9,3,Milwaukee County,03,3.0,4,55079017000
885,956 Newman St                               ,Janesville     ,53545,-89.012831202249,42.702986226744,100.0,3000559973,003,POINT (-89.012831202249 42.702986226744),44,15,Rock County,15,15.0,1,55105000600
886,264 Lincoln St                               ,Evansville     ,53536,-89.306029840049,42.776499037993,100.0,3000559973,004,POINT (-89.306029840049 42.776499037993),45,15,Rock County,15,15.0,2,55105002902
887,420 S 4th St                               ,Evansville     ,53536,-89.308697967468,42.774713483068,100.0,3000559973,005,POINT (-89.308697967468 42.774713483068),45,15,Rock County,15,15.0,2,55105002902
888,112 W Church St                               ,Evansville     ,53536,-89.301674770797,42.779115532888,100.0,3000559973,006,POINT (-89.301674770797 42.779115532888),45,15,Rock County,15,15.0,2,55105002902
889,1629 Prospect St                               ,La Crosse      ,54603,-91.235568426194,43.847295760106,100.0,3000559973,007,POINT (-91.235568426194 43.847295760106),95,32,La Crosse County,32,32.0,3,55063000100
890,800 Wisconsin St Box 13                        ,Eau Claire     ,54703-3588,-91.491534985365,44.815390992358,100.0,3000559973,010,POINT (-91.491534985365 44.815390992358),91,31,Eau Claire County,31,31.0,3,55035000600
891,201 Oak St                               ,Mauston        ,53948-1333,-90.07626379378,43.795966535712,100.0,3000560023,001,POINT (-90.07626379378 43.795966535712),50,17,Juneau County,17,17.0,3,55057100500
892,12312 County Road D                               ,Grantsburg     ,54840,-92.624545000784,45.805365003555,100.0,3000560093,001,POINT (-92.624545000784 45.805365003555),73,25,Burnett County,25,25.0,7,55013970900
893,1115 Arctic St                               ,Antigo         ,54409-2021,-89.149978248938,45.147595696686,100.0,3000560233,001,POINT (-89.149978248938 45.147595696686),35,12,Langlade County,12,12.0,7,55067960700
894,648 E Lincoln Ave                               ,Tomahawk       ,54487-1527,-89.719082568641,45.473941115417,100.0,3000560503,001,POINT (-89.719082568641 45.473941115417),35,12,Lincoln County,12,12.0,7,55069960200
895,725 Waterworks Rd                               ,Nekoosa        ,54457-1530,-89.920720565096,44.30752699464,100.0,3000560503,004,POINT (-89.920720565096 44.30752699464),70,24,Wood County,24,24.0,7,55141011700
896,158347 Evergreen Rd                               ,Wausau         ,54403-6149,-89.573549344006,45.003053967377,100.0,3000561003,001,POINT (-89.573549344006 45.003053967377),85,29,Marathon County,29,29.0,7,55073000300
897,31 Milwaukee Ave                               ,Fort Atkinson  ,53538-2017,-88.838073466363,42.92682796853,99.43,3000561403,001,POINT (-88.838073466363 42.92682796853),33,11,Jefferson County,11,11.0,2,55055101400
898,240 E Commerce Ct                               ,Elkhorn        ,53121,-88.537997560826,42.652963196232,100.0,3000561593,002,POINT (-88.537997560826 42.652963196232),31,11,Walworth County,11,11.0,1,55127001000
899,3 N Jackson St                               ,Elkhorn        ,53121,-88.539389040572,42.672473416977,100.0,3000562103,001,POINT (-88.539389040572 42.672473416977),31,11,Walworth County,11,11.0,1,55127000902
900,W5218 County Road A                               ,Elkhorn        ,53121,-88.558944188319,42.738613799558,100.0,3000562563,002,POINT (-88.558944188319 42.738613799558),31,11,Walworth County,11,11.0,1,55127000303
901,250 Theatre Rd                               ,Williams Bay   ,53191-3792,-88.560647837881,42.582106291555,100.0,3000563363,001,POINT (-88.560647837881 42.582106291555),32,11,Walworth County,11,11.0,1,55127001603
902,906 24th Ave                               ,Monroe         ,53566,-89.631262519225,42.602662012262,100.0,3000563553,001,POINT (-89.631262519225 42.602662012262),51,17,Green County,17,17.0,2,55045960400
903,320 Pine St                               ,Turtle Lake    ,54889,-92.144607618518,45.392407074288,99.43,3000563563,001,POINT (-92.144607618518 45.392407074288),75,25,Barron County,25,25.0,7,55005000300
904,W313s4134 Highway 83                               ,Genesee Depot  ,53127,-88.373796664352,42.969749766854,97.91,3000563563,002,POINT (-88.373796664352 42.969749766854),97,33,Waukesha County,33,33.0,5,55133203806
905,227 Genesee St                               ,Delafield      ,53018,-88.404304528797,43.056988992289,100.0,3000563563,003,POINT (-88.404304528797 43.056988992289),99,33,Waukesha County,33,33.0,5,55133203704
906,5930 Old Sauk Rd                               ,Madison        ,53705,-89.482136978527,43.075257475989,100.0,3000563593,001,POINT (-89.482136978527 43.075257475989),79,27,Dane County,27,27.0,2,55025000205
907,6701 Woodgate Rd                               ,Middleton      ,53562,-89.499403950525,43.0899374993,100.0,3000563963,001,POINT (-89.499403950525 43.0899374993),79,27,Dane County,27,27.0,2,55025000205
908,305 W Lakeside St                               ,Madison        ,53715,-89.387394734373,43.055997832239,100.0,3000563993,001,POINT (-89.387394734373 43.055997832239),77,26,Dane County,26,26.0,2,55025001300
909,120 S Rosa Rd                               ,Madison        ,53705,-89.478469392973,43.065713799124,100.0,3000564013,001,POINT (-89.478469392973 43.065713799124),78,26,Dane County,26,26.0,2,55025000201
910,2602 Post Rd                               ,Madison        ,53713,-89.421655847422,43.02656985029,100.0,3000564013,003,POINT (-89.421655847422 43.02656985029),77,26,Dane County,26,26.0,2,55025001402
911,1105 Shorewood Blvd                               ,Madison        ,53705,-89.442992568688,43.079318005163,100.0,3000564643,001,POINT (-89.442992568688 43.079318005163),77,26,Dane County,26,26.0,2,55025010100
912,3870 Nakoma Rd                               ,Madison        ,53711,-89.441893701182,43.045653180706,100.0,3000564783,002,POINT (-89.441893701182 43.045653180706),77,26,Dane County,26,26.0,2,55025000700
913,246 S Segoe Rd                               ,Madison        ,53705-4953,-89.458459024065,43.065608019505,100.0,3000564853,001,POINT (-89.458459024065 43.065608019505),77,26,Dane County,26,26.0,2,55025000302
914,7627 W Mineral Point Rd                               ,Verona         ,53593-9666,-89.5786850199,43.060192555683,100.0,3000564863,002,POINT (-89.5786850199 43.060192555683),80,27,Dane County,27,27.0,2,55025010907
915,2100 Summit Ave                               ,Waukesha       ,53188,-88.260884968685,43.024250996776,100.0,3000565413,003,POINT (-88.260884968685 43.024250996776),98,33,Waukesha County,33,33.0,5,55133203107
916,501 South St                               ,Waunakee       ,53597,-89.455175581134,43.187350930268,100.0,3000565503,002,POINT (-89.455175581134 43.187350930268),79,27,Dane County,27,27.0,2,55025011302
917,700 N Madison St                               ,Waunakee       ,53597,-89.451788286424,43.198717712983,100.0,3000565753,001,POINT (-89.451788286424 43.198717712983),79,27,Dane County,27,27.0,2,55025011301
918,3502 Maple Grove Dr                               ,Madison        ,53719,-89.499007486505,43.009615020365,100.0,3000565843,001,POINT (-89.499007486505 43.009615020365),78,26,Dane County,26,26.0,2,55025010801
919,305 W Lakeside St                               ,Madison        ,53715-2034,-89.387394734373,43.055997832239,100.0,3000566143,001,POINT (-89.387394734373 43.055997832239),77,26,Dane County,26,26.0,2,55025001300
920,333 S Madison St                               ,Waunakee       ,53597,-89.449780485336,43.188755276235,100.0,3000566163,002,POINT (-89.449780485336 43.188755276235),79,27,Dane County,27,27.0,2,55025011302
921,1350 Arboretum Dr                               ,Waunakee       ,53597-2675,-89.417995470305,43.177299645346,100.0,3000566163,005,POINT (-89.417995470305 43.177299645346),79,27,Dane County,27,27.0,2,55025011201
922,1201 Mckenna Blvd                               ,Madison        ,53719,-89.504980682165,43.040692812316,100.0,3000566233,001,POINT (-89.504980682165 43.040692812316),78,26,Dane County,26,26.0,2,55025000407
924,N68w28450 Sussex Rd                               ,Merton         ,53056,-88.302580297409,43.141377286388,96.32,3000566383,001,POINT (-88.302580297409 43.141377286388),99,33,Waukesha County,33,33.0,5,55133203405
925,349 N Oak Crest Dr                               ,Wales          ,53183-9711,-88.375914436009,43.009559657895,100.0,3000566833,001,POINT (-88.375914436009 43.009559657895),99,33,Waukesha County,33,33.0,5,55133203805
926,501 South St                               ,Waunakee       ,53597-1419,-89.455175581134,43.187350930268,100.0,3000567133,001,POINT (-89.455175581134 43.187350930268),79,27,Dane County,27,27.0,2,55025011302
927,740 N Main St                               ,Verona         ,53593-1153,-89.53386279267,42.999548270833,100.0,3000567333,001,POINT (-89.53386279267 42.999548270833),80,27,Dane County,27,27.0,2,55025010802
928,105 S Butler St                               ,Madison        ,53703,-89.379801735924,43.075705111528,100.0,3000567503,001,POINT (-89.379801735924 43.075705111528),76,26,Dane County,26,26.0,2,55025001706
929,1124 Colby St                               ,Madison        ,53715,-89.384004757453,43.054412311434,100.0,3000569303,002,POINT (-89.384004757453 43.054412311434),77,26,Dane County,26,26.0,2,55025001300
930,114 Van Deusen St                               ,Madison        ,53715-2063,-89.384583444048,43.054283272035,100.0,3000569303,004,POINT (-89.384583444048 43.054283272035),77,26,Dane County,26,26.0,2,55025001300
931,5360 175th St                               ,Chippewa Falls ,54729,-91.318043168317,44.920571430084,100.0,3000569323,001,POINT (-91.318043168317 44.920571430084),68,23,Chippewa County,23,23.0,7,55017010700
932,919 60th St                               ,Kenosha        ,53140,-87.822282103739,42.580786292712,100.0,3000569363,001,POINT (-87.822282103739 42.580786292712),65,22,Kenosha County,22,22.0,1,55059001000
933,2215 Main St                               ,Cross Plains   ,53528,-89.646818744785,43.11231885716,100.0,3000569453,001,POINT (-89.646818744785 43.11231885716),81,27,Dane County,27,27.0,2,55025013000
934,8545 54th Ave                               ,Pleasant Prairi,53158,-87.872182674646,42.55007298782,98.69,3000569493,003,POINT (-87.872182674646 42.55007298782),61,21,Kenosha County,21,21.0,1,55059002500
935,N7626 County Wh                               ,Fond Du Lac    ,54935,-88.379095871178,43.816452745263,92.45,3000569523,001,POINT (-88.379095871178 43.816452745263),59,20,Fond du Lac County,20,20.0,6,55039042002
936,574 Prairie Rd                               ,Fond Du Lac    ,54935,-88.412087461172,43.793946999961,99.43,3000570263,001,POINT (-88.412087461172 43.793946999961),52,18,Fond du Lac County,18,18.0,6,55039041102
937,N11896 Hwy 175                               ,Lomira         ,53048,-88.444730028717,43.627116993827,100.0,3000570383,002,POINT (-88.444730028717 43.627116993827),39,13,Dodge County,13,13.0,6,55027960100
938,N63 W23075 Main St                               ,Sussex         ,53089,-88.204950014225,43.131695009364,99.99,3000571043,001,POINT (-88.204950014225 43.131695009364),22,8,Waukesha County,08,8.0,5,55133203404
939,W224n3297 Duplainville Rd                               ,Pewaukee       ,53072-4171,-88.194690061824,43.07878323974,100.0,3000571253,001,POINT (-88.194690061824 43.07878323974),98,33,Waukesha County,33,33.0,5,55133203308
940,777 S Barker Rd                               ,Brookfield     ,53045,-88.166818892661,43.022820666909,100.0,3000571593,001,POINT (-88.166818892661 43.022820666909),13,5,Waukesha County,05,5.0,5,55133202902
941,800 Lake Dr                               ,Oconomowoc     ,53066-1791,-88.48456661612,43.128602925282,100.0,3000571893,001,POINT (-88.48456661612 43.128602925282),38,13,Waukesha County,13,13.0,5,55133204301
942,211 Wisconsin River Dr                               ,Port Edwards   ,54469-1437,-89.858884666981,44.33998306484,100.0,3000571953,001,POINT (-89.858884666981 44.33998306484),72,24,Wood County,24,24.0,7,55141011700
943,1053 Camp Rd                               ,Wisc Rapids    ,54494,-89.822547272696,44.3370197687,100.0,3000572003,003,POINT (-89.822547272696 44.3370197687),72,24,Wood County,24,24.0,7,55141011600
944,500 S Section St Humke Elementary School       ,Nekoosa        ,54457-1499,-89.90414,44.30987,100.0,3000572343,001,POINT (-89.90414 44.30987),70,24,Wood County,24,24.0,7,55141011700
945,8511 County Road Ww Grant Elementary School       ,Wisc Rapids    ,54494,-89.71714,44.35884,99.9,3000572533,003,POINT (-89.71714 44.35884),71,24,Portage County,24,24.0,7,55097961200
946,601 W Grand Ave                               ,Wisc Rapids    ,54495-2706,-89.830251918096,44.394393393022,100.0,3000572923,001,POINT (-89.830251918096 44.394393393022),72,24,Wood County,24,24.0,7,55141011200
947,1326 4th Ave                               ,Onalaska       ,54650-9140,-91.237322507071,43.904456987001,99.43,3000572963,001,POINT (-91.237322507071 43.904456987001),94,32,La Crosse County,32,32.0,3,55063010404
948,N168 W22224 Main St                               ,Jackson        ,53037,-88.183863073673,43.325198284967,99.99,3000573153,001,POINT (-88.183863073673 43.325198284967),58,20,Washington County,20,20.0,5,55131450103
949,860 Garfield                               ,Fennimore      ,53809,-90.651104688016,42.984282436308,98.51,3000574033,001,POINT (-90.651104688016 42.984282436308),49,17,Grant County,17,17.0,3,55043960300
950,801 County Road Hh                               ,Stevens Point  ,54481-8415,-89.605376771467,44.522943708358,100.0,3000574213,004,POINT (-89.605376771467 44.522943708358),71,24,Portage County,24,24.0,7,55097961101
951,3250 W 9th Ave                               ,Oshkosh        ,54904,-88.614571024019,44.012933985336,100.0,3000574903,001,POINT (-88.614571024019 44.012933985336),54,18,Winnebago County,18,18.0,6,55139001803
952,324 Washington Ave                               ,Oshkosh        ,54901,-88.533014016474,44.017737444499,100.0,3000575073,002,POINT (-88.533014016474 44.017737444499),54,18,Winnebago County,18,18.0,6,55139000501
953,1225 N Oakwood Rd                               ,Oshkosh        ,54904,-88.602890506668,44.033242121354,100.0,3000575503,003,POINT (-88.602890506668 44.033242121354),53,18,Winnebago County,18,18.0,6,55139001804
954,1120 Algoma Blvd                               ,Oshkosh        ,54901,-88.555172415709,44.030745068579,100.0,3000576033,001,POINT (-88.555172415709 44.030745068579),54,18,Winnebago County,18,18.0,6,55139000700
955,4532 Wagon Trail Rd                               ,Oshkosh        ,54904-9380,-88.62393589721,43.948988444076,100.0,3000576203,001,POINT (-88.62393589721 43.948988444076),53,18,Winnebago County,18,18.0,6,55139001900
956,3000 W 20th Ave                               ,Oshkosh        ,54904,-88.610327014984,43.998773011378,100.0,3000576503,003,POINT (-88.610327014984 43.998773011378),54,18,Winnebago County,18,18.0,6,55139001801
957,3303 W 20th Ave                               ,Oshkosh        ,54904-9249,-88.616807986338,43.996462539768,100.0,3000576513,001,POINT (-88.616807986338 43.996462539768),54,18,Winnebago County,18,18.0,6,55139001801
958,3303 W 20th Ave                               ,Oshkosh        ,54904,-88.616807986338,43.996462539768,100.0,3000576553,001,POINT (-88.616807986338 43.996462539768),54,18,Winnebago County,18,18.0,6,55139001801
959,1401 W 5th St                               ,Oshkosh        ,54902,-88.571457363931,44.013420890091,97.55,3000576583,003,POINT (-88.571457363931 44.013420890091),54,18,Winnebago County,18,18.0,6,55139001100
960,608 Algoma Blvd Lincoln Hall                  ,Oshkosh        ,54901-3502,-88.546851700426,44.022857865329,97.25,3000576793,001,POINT (-88.546851700426 44.022857865329),54,18,Winnebago County,18,18.0,6,55139000700
961,1621 County Road B                               ,Platteville    ,53818,-90.499986343461,42.73953442533,100.0,3000576793,002,POINT (-90.499986343461 42.73953442533),49,17,Grant County,17,17.0,3,55043961000
962,N3969 Columbia Ave                               ,Freedom        ,54130-7554,-88.292879447477,44.381873847163,100.0,3000576993,002,POINT (-88.292879447477 44.381873847163),5,2,Outagamie County,02,2.0,8,55087012903
963,N3569 County Road E                               ,Freedom        ,54913-9253,-88.316069658993,44.366872838869,100.0,3000577393,002,POINT (-88.316069658993 44.366872838869),5,2,Outagamie County,02,2.0,8,55087012904
964,W7425 Blackhawk Ct                               ,Wautoma        ,54982,-89.25235682598,44.10827088361,100.0,3000577523,001,POINT (-89.25235682598 44.10827088361),72,24,Waushara County,24,24.0,6,55137960202
965,107 2nd St                               ,New Glarus     ,53574,-89.63519748749,42.818667009854,100.0,3000577663,003,POINT (-89.63519748749 42.818667009854),80,27,Green County,27,27.0,2,55045960200
966,1420 2nd St                               ,New Glarus     ,53574-9701,-89.635160607116,42.805891271125,100.0,3000577703,001,POINT (-89.635160607116 42.805891271125),80,27,Green County,27,27.0,2,55045960200
967,10520 Judith Blazer Dr                               ,Sister Bay     ,54234-9021,-87.1233669981,45.181312488942,100.0,3000577773,001,POINT (-87.1233669981 45.181312488942),1,1,Door County,01,1.0,8,55029100300
968,6627 W Capitol Dr                               ,Milwaukee      ,53216-2039,-87.995470998807,43.089882472106,100.0,3000577823,001,POINT (-87.995470998807 43.089882472106),17,6,Milwaukee County,06,6.0,4,55079005100
969,2624 Ellis St                               ,Stevens Point  ,54481-4021,-89.561364906636,44.521563418452,100.0,3000577833,007,POINT (-89.561364906636 44.521563418452),71,24,Portage County,24,24.0,7,55097960900
970,141 N Van Buren                               ,Benton         ,53803,-90.380051289862,42.57024592374,98.53,3000577863,001,POINT (-90.380051289862 42.57024592374),49,17,Lafayette County,17,17.0,3,55065970400
971,411 S Highland Ave                               ,Plymouth       ,53073-2534,-87.958724986743,43.741739980756,100.0,3000577873,001,POINT (-87.958724986743 43.741739980756),27,9,Sheboygan County,09,9.0,6,55117010502
972,300 Riverside Cir                               ,Plymouth       ,53073-1247,-87.978331264098,43.755417444629,100.0,3000577893,003,POINT (-87.978331264098 43.755417444629),27,9,Sheboygan County,09,9.0,6,55117010503
973,300 Salem Dr                               ,Plymouth       ,53073-2050,-87.964232819138,43.749657316948,100.0,3000577923,001,POINT (-87.964232819138 43.749657316948),27,9,Sheboygan County,09,9.0,6,55117010502
974,500 Parkview Dr                               ,Plymouth       ,53073-1552,-87.990076238285,43.754502224622,100.0,3000577933,001,POINT (-87.990076238285 43.754502224622),27,9,Sheboygan County,09,9.0,6,55117010504
975,1408 15th Ave                               ,Union Grove    ,53182,-88.057764381197,42.681288916004,100.0,3000577953,001,POINT (-88.057764381197 42.681288916004),63,21,Racine County,21,21.0,1,55101001801
976,516 Baxter Ave                               ,Superior       ,54880,-92.094807295173,46.731933060443,100.0,3000577963,001,POINT (-92.094807295173 46.731933060443),73,25,Douglas County,25,25.0,7,55031021100
977,126 Chapel Ter                               ,Burlington     ,53105,-88.264760676894,42.678064691219,100.0,3000577973,001,POINT (-88.264760676894 42.678064691219),63,21,Racine County,21,21.0,1,55101002402
978,1204 Saint James Ct                               ,Madison        ,53715-1345,-89.405637024625,43.065877497693,100.0,3000578083,001,POINT (-89.405637024625 43.065877497693),77,26,Dane County,26,26.0,2,55025001200
979,535 Water St                               ,Iola           ,54945,-89.122386029513,44.511235949821,100.0,3000578723,001,POINT (-89.122386029513 44.511235949821),40,14,Waupaca County,14,14.0,8,55135100300
980,450 Division St                               ,Iola           ,54945-9629,-89.124575466441,44.504028812285,100.0,3000578793,001,POINT (-89.124575466441 44.504028812285),40,14,Waupaca County,14,14.0,8,55135100300
981,3147 W Main St                               ,East Troy      ,53120-1151,-88.418116647945,42.783900132768,98.57,3000579113,004,POINT (-88.418116647945 42.783900132768),83,28,Walworth County,28,28.0,1,55127000103
982,6716 W Bluemound Rd                               ,Wauwatosa      ,53213,-87.996199889107,43.036052213533,100.0,3000579393,001,POINT (-87.996199889107 43.036052213533),18,6,Milwaukee County,06,6.0,5,55079091300
983,,Whitefish Bay  ,53217,-87.908099827486,43.104029382801,100.0,3000579793,001,POINT (-87.908099827486 43.104029382801),23,8,Milwaukee County,08,8.0,4,55079070300
984,819 E Silver Spring Dr                               ,Whitefish Bay  ,53217-5233,-87.90054292786,43.118426959551,100.0,3000580053,001,POINT (-87.90054292786 43.118426959551),23,8,Milwaukee County,08,8.0,5,55079070200
985,909 E Garfield Ave                               ,Milwaukee      ,53212,-87.900089718355,43.058993440615,100.0,3000580403,002,POINT (-87.900089718355 43.058993440615),16,6,Milwaukee County,06,6.0,4,55079010700
986,2320 W Burleigh St                               ,Milwaukee      ,53206-1751,-87.941650295603,43.075172148214,100.0,3000580403,003,POINT (-87.941650295603 43.075172148214),16,6,Milwaukee County,06,6.0,4,55079006400
987,7500 W North Ave                               ,Wauwatosa      ,53213-1717,-88.006050469357,43.060794837336,100.0,3000580463,001,POINT (-88.006050469357 43.060794837336),14,5,Milwaukee County,05,5.0,5,55079090900
988,2100 E Capitol Dr                               ,Shorewood      ,53211,-87.883753137609,43.089247668669,100.0,3000581003,001,POINT (-87.883753137609 43.089247668669),10,4,Milwaukee County,04,4.0,5,55079080200
989,4849 N Wildwood Ave                               ,Whitefish Bay  ,53217,-87.895909495603,43.105343353518,100.0,3000581053,001,POINT (-87.895909495603 43.105343353518),23,8,Milwaukee County,08,8.0,5,55079070200
990,1600 E Lake Bluff                               ,Shorewood      ,53211,-87.89008030104,43.095850470986,98.46,3000581113,001,POINT (-87.89008030104 43.095850470986),10,4,Milwaukee County,04,4.0,5,55079080200
991,,Glendale       ,53209,-87.928456742608,43.099255463955,100.0,3000581213,003,POINT (-87.928456742608 43.099255463955),10,4,Milwaukee County,04,4.0,4,55079002300
992,5205 N Lydell Ave                               ,Whitefish Bay  ,53217,-87.911861346994,43.111937229108,100.0,3000581263,001,POINT (-87.911861346994 43.111937229108),23,8,Milwaukee County,08,8.0,5,55079070100
993,2717 E Hampshire St                               ,Milwaukee      ,53211,-87.876097526344,43.075618275011,97.55,3000582143,002,POINT (-87.876097526344 43.075618275011),19,7,Milwaukee County,07,7.0,4,55079007400
994,1101 W Brown Deer Rd                               ,River Hills    ,53217,-87.921621402689,43.176774016198,100.0,3000582403,001,POINT (-87.921621402689 43.176774016198),23,8,Milwaukee County,08,8.0,5,55079040100
995,,Whitefish Bay  ,53217,-87.908099827486,43.104029382801,100.0,3000582443,001,POINT (-87.908099827486 43.104029382801),23,8,Milwaukee County,08,8.0,4,55079070300
996,2214 E Capitol Dr                               ,Milwaukee      ,53211,-87.882283621293,43.089287278552,100.0,3000582503,001,POINT (-87.882283621293 43.089287278552),10,4,Milwaukee County,04,4.0,5,55079080300
997,2200 E Capitol Dr                               ,Shorewood      ,53211-2105,-87.881641987656,43.089257433587,100.0,3000582613,001,POINT (-87.881641987656 43.089257433587),10,4,Milwaukee County,04,4.0,5,55079080300
998,1647 N Cass Street                               ,Milwaukee      ,53202,-87.902167592152,43.051734461008,100.0,3000582723,001,POINT (-87.902167592152 43.051734461008),19,7,Milwaukee County,07,7.0,4,55079011100
999,2816 W Clarke St                               ,Milwaukee      ,53210-2621,-87.949434233806,43.066051003088,100.0,3000582773,001,POINT (-87.949434233806 43.066051003088),16,6,Milwaukee County,06,6.0,4,55079008800
1000,900 W Walnut St                               ,Milwaukee      ,53205-1761,-87.923545971477,43.052707474238,100.0,3000583123,001,POINT (-87.923545971477 43.052707474238),16,6,Milwaukee County,06,6.0,4,55079186000
1001,3255 N Fratney St                               ,Milwaukee      ,53212-2240,-87.901478851168,43.077715720552,100.0,3000583173,001,POINT (-87.901478851168 43.077715720552),10,4,Milwaukee County,04,4.0,4,55079007200
1002,2308 W Nash St                               ,Milwaukee      ,53206-1830,-87.941648451584,43.084659289143,100.0,3000583343,001,POINT (-87.941648451584 43.084659289143),16,6,Milwaukee County,06,6.0,4,55079004700
1003,2920 W Grant St                               ,Milwaukee      ,53215-2446,-87.951133664675,43.004901163748,100.0,3000583673,004,POINT (-87.951133664675 43.004901163748),9,3,Milwaukee County,03,3.0,4,55079017300
1004,1711 S 35th St                               ,Milwaukee      ,53215-2004,-87.957676997389,43.011948793666,100.0,3000583773,001,POINT (-87.957676997389 43.011948793666),9,3,Milwaukee County,03,3.0,4,55079017100
1005,2463 N Buffum St                               ,Milwaukee      ,53212-2901,-87.9065420236,43.063441465173,100.0,3000583773,003,POINT (-87.9065420236 43.063441465173),16,6,Milwaukee County,06,6.0,4,55079010600
1006,1503 W Hopkins St                               ,Milwaukee      ,53206-2165,-87.931656384809,43.071177919894,100.0,3000583893,001,POINT (-87.931656384809 43.071177919894),10,4,Milwaukee County,04,4.0,4,55079008500
1007,1210 W Mineral St                               ,Milwaukee      ,53204-2132,-87.927337106283,43.021181166648,100.0,3000584083,001,POINT (-87.927337106283 43.021181166648),8,3,Milwaukee County,03,3.0,4,55079015700
1008,3239 N 9th St                               ,Milwaukee      ,53206-3251,-87.922464370692,43.07725190794,100.0,3000584243,001,POINT (-87.922464370692 43.07725190794),10,4,Milwaukee County,04,4.0,4,55079006700
1009,921 W Meinecke Ave                               ,Milwaukee      ,53206-3137,-87.923775803262,43.06211976477,100.0,3000584553,001,POINT (-87.923775803262 43.06211976477),16,6,Milwaukee County,06,6.0,4,55079185500
1010,1817 W Lincoln Ave                               ,Milwaukee      ,53215-2650,-87.936037270322,43.002954424826,100.0,3000584613,001,POINT (-87.936037270322 43.002954424826),8,3,Milwaukee County,03,3.0,4,55079018800
1011,1728 S 23rd St                               ,Milwaukee      ,53204-3009,-87.942232502597,43.01180998935,100.0,3000584653,001,POINT (-87.942232502597 43.01180998935),8,3,Milwaukee County,03,3.0,4,55079016900
1012,2424 S 4th St                               ,Milwaukee      ,53207-1411,-87.915532452946,43.001098000911,100.0,3000584753,001,POINT (-87.915532452946 43.001098000911),8,3,Milwaukee County,03,3.0,4,55079186600
1013,3360 N Sherman Blvd                               ,Milwaukee      ,53216-3559,-87.967147542148,43.080519048069,100.0,3000584793,001,POINT (-87.967147542148 43.080519048069),18,6,Milwaukee County,06,6.0,4,55079004800
1014,1945 N 31st St                               ,Milwaukee      ,53208-1902,-87.952587086685,43.056105455875,100.0,3000585013,001,POINT (-87.952587086685 43.056105455875),16,6,Milwaukee County,06,6.0,4,55079009700
1015,6453 N 89th St                               ,Milwaukee      ,53224-5307,-88.022964144136,43.135486688994,100.0,3000585043,002,POINT (-88.022964144136 43.135486688994),12,4,Milwaukee County,04,4.0,4,55079000600
1016,4348 S Griffin Ave                               ,Milwaukee      ,53207-5026,-87.904633548066,42.965494190792,100.0,3000585273,001,POINT (-87.904633548066 42.965494190792),20,7,Milwaukee County,07,7.0,4,55079021000
1017,5143 S 21st St                               ,Milwaukee      ,53221-3533,-87.940346742021,42.950890945713,100.0,3000585353,002,POINT (-87.940346742021 42.950890945713),7,3,Milwaukee County,03,3.0,4,55079021500
1018,6500 W Kinnickinnic River Pkwy                               ,Milwaukee      ,53219-3030,-87.993426904079,42.990721330508,100.0,3000585353,003,POINT (-87.993426904079 42.990721330508),7,3,Milwaukee County,03,3.0,4,55079019200
1019,1016 W Oklahoma Ave                               ,Milwaukee      ,53215-4746,-87.925762984867,42.988297451748,100.0,3000585393,001,POINT (-87.925762984867 42.988297451748),9,3,Milwaukee County,03,3.0,4,55079020500
1020,3450 S 32nd St                               ,Milwaukee      ,53215-4204,-87.954452479237,42.981959014657,100.0,3000585513,001,POINT (-87.954452479237 42.981959014657),9,3,Milwaukee County,03,3.0,4,55079020000
1021,4921 W Garfield Ave                               ,Milwaukee      ,53208-1109,-87.975422995154,43.059232534402,100.0,3000585553,002,POINT (-87.975422995154 43.059232534402),18,6,Milwaukee County,06,6.0,4,55079009200
1022,4040 W Forest Home Ave                               ,Milwaukee      ,53215-3538,-87.965268654733,42.990830546707,100.0,3000585693,002,POINT (-87.965268654733 42.990830546707),9,3,Milwaukee County,03,3.0,4,55079019000
